kind,pair,class,pred_area,gt_area,iou,dice,precision,recall,boundary_f1
pair,fdk_pos1_000193,shell,6589,9910,0.660527,0.795563,0.996054,0.66226,0.89976
pair,fdk_pos1_000193,kernel,22888,24954,0.874172,0.932862,0.974965,0.894245,0.809548
pair,fdk_pos1_000193,septa,3271,2922,0.143886,0.251574,0.238153,0.266598,0.325119
pair,fdk_pos1_000226,shell,7031,10372,0.673687,0.805034,0.996302,0.675376,0.893244
pair,fdk_pos1_000226,kernel,16650,18821,0.838828,0.912351,0.971832,0.859731,0.814459
pair,fdk_pos1_000226,septa,4099,3038,0.198489,0.331232,0.288363,0.389072,0.450757
pair,fdk_pos1_000245,shell,6939,10206,0.678907,0.808749,0.999135,0.679306,0.876838
pair,fdk_pos1_000245,kernel,16608,18113,0.841474,0.913914,0.955323,0.875945,0.750107
pair,fdk_pos1_000245,septa,3463,3080,0.235927,0.381782,0.36067,0.405519,0.413257
pair,fdk_pos1_000248,shell,6886,9748,0.703082,0.825658,0.997241,0.704452,0.91136
pair,fdk_pos1_000248,kernel,16408,17772,0.841992,0.914219,0.952218,0.879136,0.744778
pair,fdk_pos1_000248,septa,3865,2533,0.194771,0.326039,0.269858,0.411765,0.466152
mean,__mean__,shell,0,0,0.679051,0.808751,0.997183,0.680349,0.8953
mean,__mean__,kernel,0,0,0.849117,0.918336,0.963585,0.877264,0.779723
mean,__mean__,septa,0,0,0.193268,0.322657,0.289261,0.368239,0.413821
macro,__macro__,all,0,0,0.573812,0.683248,0.75001,0.641951,0.696282
